State,Eggs,Diary,Peanuts,Seafood,Additives,Other
Alabama,29,7,30,35,22,27
Alaska,17,5,20,18,25,25
Arizona,33,13,28,29,11,29
Arkansas,42,12,42,45,14,42
California,22,11,24,17,17,30
Colorado,26,13,25,30,28,34
Connecticut,42,19,51,32,48,39
Delaware,51,25,51,56,45
District of Columbia,18,9,14,20,6,29
Florida,23,7,24,22,17,28
Georgia,44,16,28,25,28,35
Hawaii,7,4,27,38,0,36
Idaho,53,22,53,16,25,38
Illinois,30,16,26,23,16,35
Indiana,27,11,26,37,20,28
Iowa,38,27,57,24,0,34
Kansas,16,7,19,22,14,23
Kentucky,16,7,18,19,25,28
Louisiana,14,6,17,10,12,25
Maine,18,13,22,21,84,37
Maryland,44,18,37,36,23,31
Massachusetts,34,11,27,36,34,34
Michigan,44,16,43,36,41,38
Minnesota18,12,17,22,0,35
Mississippi,46,8,61,51,0,40
Missouri,11,8,11,15,24,25
Montana,20,10,31,25,6,42
Nebraska,10,5,10,10,5,23
Nevada,32,10,31,21,25,31
New Hampshire,7,2,12,13,0,24
New Jersey,29,11,27,23,25,21
New Mexico,36,8,26,21,14,23
New York,35,12,26,15,22,35
North Carolina,30,14,25,25,11,26
North Dakota,8,6,8,8,19,18
Ohio,30,7,33,32,32,32
Oklahoma,36,10,26,20,24,39
Oregon,57,25,57,57,59,40
Pennsylvania,32,14,30,28,33,29
Rhode Island,18,6,14,30,15,42
South Carolina,31,7,30,21,35,25
South Dakota,15,9,21,0,0,39
Tennessee,33,9,33,25,25,34
Texas,38,9,33,33,11,29
Utah,44,20,60,48,47,40
Vermont,47,22,48,23,53
Virginia,19,8,18,16,14,24
Washington,66,37,57,52,27,48
West Virginia,22,9,38,37,15,42
Wisconsin,12,6,12,17,22,35
Wyoming,9,1,12,5,0,23
