City,State,Score,Rank,Lat,Lon
Wichita,KS,100.0,1,37.6872,-97.3301
New Orleans,LA,86.81,2,29.9511,-90.0715
Oklahoma City,OK,86.05,3,35.4676,-97.5164
Tulsa,OK,84.16,4,36.15398,-95.99277
Memphis,TN,83.5,5,35.1495,-90.049
Little Rock,AR,82.94,6,34.7465,-92.2896
Raleigh,NC,82.87,7,35.7796,-78.6382
Richmond,VA,82.8,8,37.5407,-77.436
Greenville,SC,82.74,9,34.8526,-82.394
Greensboro,NC,82.08,10,36.0726,-79.792
Virginia Beach,VA,80.39,11,36.8529,-75.978
Augusta,GA,80.37,12,33.4735,-82.0105
Dallas,TX,80.19,13,32.7767,-96.797
Baton Rouge,LA,79.57,14,30.4515,-91.1871
Winston-Salem,NC,78.98,15,36.0999,-80.2442
Chattanooga,TN,77.76,16,35.0456,-85.3097
Knoxville,TN,77.59,17,35.9606,-83.9207
Charlotte,NC,76.98,18,35.2271,-80.8431
Scranton,PA,76.79,19,41.4089,-75.6624
Jacksonville,FL,76.44,20,30.3322,-81.6557
Bakersfield,CA,76.24,21,35.3733,-119.0187
Sarasota,FL,76.17,22,27.3364,-82.5307
Sacramento,CA,76.07,23,38.5816,-121.4944
Stockton,CA,75.69,24,37.9577,-121.2908
Tampa,FL,75.42,25,27.9506,-82.4572
Houston,TX,75.39,26,29.7604,-95.3698
McAllen,TX,75.31,27,26.2034,-98.23
Fresno,CA,75.19,28,36.7378,-119.7871
Nashville,TN,74.98,29,36.1627,-86.7816
Lakeland,FL,74.5,30,28.0395,-81.9498
Palm Bay,FL,74.23,31,28.0345,-80.5887
Des Moines,IA,74.07,32,41.5868,-93.625
Oxnard,CA,74.03,33,34.1975,-119.1771
Orlando,FL,73.76,34,28.5383,-81.3792
Durham,NC,73.65,35,35.994,-78.8986
Fayetteville,AR,73.58,36,36.0822,-94.1719
San Antonio,TX,73.5,37,29.4241,-98.4936
Las Vegas,NV,73.29,38,36.1699,-115.1398
